"variable_combination","adjR2","AIC"
"TA_mean+NA+NA+NA+NA+NA+NA+NA+NA","0.706","270.16"
"TA_sd+NA+NA+NA+NA+NA+NA+NA+NA","0.707","269.738"
"PA_sd+NA+NA+NA+NA+NA+NA+NA+NA","0.697","275.023"
"TCV_mean+NA+NA+NA+NA+NA+NA+NA+NA","0.698","274.601"
"PCV_sd+NA+NA+NA+NA+NA+NA+NA+NA","0.718","263.215"
"MAT_mean+NA+NA+NA+NA+NA+NA+NA+NA","0.762","235.338"
"MAT_sd+NA+NA+NA+NA+NA+NA+NA+NA","0.697","274.705"
"TSN_mean+NA+NA+NA+NA+NA+NA+NA+NA","0.711","267.139"
"PSN_mean+NA+NA+NA+NA+NA+NA+NA+NA","0.708","268.653"
"TA_mean+TA_sd+NA+NA+NA+NA+NA+NA+NA","0.717","265.993"
"TA_mean+PA_sd+NA+NA+NA+NA+NA+NA+NA","0.706","272.137"
"TA_mean+TCV_mean+NA+NA+NA+NA+NA+NA+NA","0.706","271.967"
"TA_mean+PCV_sd+NA+NA+NA+NA+NA+NA+NA","0.725","261.021"
"TA_mean+MAT_mean+NA+NA+NA+NA+NA+NA+NA","0.765","235.472"
"TA_mean+MAT_sd+NA+NA+NA+NA+NA+NA+NA","0.706","272.154"
"TA_mean+TSN_mean+NA+NA+NA+NA+NA+NA+NA","0.718","264.951"
"TA_mean+PSN_mean+NA+NA+NA+NA+NA+NA+NA","0.718","265.461"
"TA_sd+PA_sd+NA+NA+NA+NA+NA+NA+NA","0.707","271.733"
"TA_sd+TCV_mean+NA+NA+NA+NA+NA+NA+NA","0.707","271.292"
"TA_sd+PCV_sd+NA+NA+NA+NA+NA+NA+NA","0.728","259.488"
"TA_sd+MAT_mean+NA+NA+NA+NA+NA+NA+NA","0.764","236.115"
"TA_sd+MAT_sd+NA+NA+NA+NA+NA+NA+NA","0.708","270.712"
"TA_sd+TSN_mean+NA+NA+NA+NA+NA+NA+NA","0.72","263.997"
"TA_sd+PSN_mean+NA+NA+NA+NA+NA+NA+NA","0.719","264.431"
"PA_sd+TCV_mean+NA+NA+NA+NA+NA+NA+NA","0.698","276.565"
"PA_sd+PCV_sd+NA+NA+NA+NA+NA+NA+NA","0.718","264.95"
"PA_sd+MAT_mean+NA+NA+NA+NA+NA+NA+NA","0.766","235.069"
"PA_sd+MAT_sd+NA+NA+NA+NA+NA+NA+NA","0.697","276.687"
"PA_sd+TSN_mean+NA+NA+NA+NA+NA+NA+NA","0.711","269.013"
"PA_sd+PSN_mean+NA+NA+NA+NA+NA+NA+NA","0.708","270.646"
"TCV_mean+PCV_sd+NA+NA+NA+NA+NA+NA+NA","0.719","264.848"
"TCV_mean+MAT_mean+NA+NA+NA+NA+NA+NA+NA","0.762","237.246"
"TCV_mean+MAT_sd+NA+NA+NA+NA+NA+NA+NA","0.698","276.3"
"TCV_mean+TSN_mean+NA+NA+NA+NA+NA+NA+NA","0.711","269.118"
"TCV_mean+PSN_mean+NA+NA+NA+NA+NA+NA+NA","0.71","270.065"
"PCV_sd+MAT_mean+NA+NA+NA+NA+NA+NA+NA","0.783","222.888"
"PCV_sd+MAT_sd+NA+NA+NA+NA+NA+NA+NA","0.72","264.049"
"PCV_sd+TSN_mean+NA+NA+NA+NA+NA+NA+NA","0.733","256.081"
"PCV_sd+PSN_mean+NA+NA+NA+NA+NA+NA+NA","0.731","257.752"
"MAT_mean+MAT_sd+NA+NA+NA+NA+NA+NA+NA","0.763","236.985"
"MAT_mean+TSN_mean+NA+NA+NA+NA+NA+NA+NA","0.767","233.907"
"MAT_mean+PSN_mean+NA+NA+NA+NA+NA+NA+NA","0.77","231.734"
"MAT_sd+TSN_mean+NA+NA+NA+NA+NA+NA+NA","0.711","269.111"
"MAT_sd+PSN_mean+NA+NA+NA+NA+NA+NA+NA","0.709","270.61"
"TSN_mean+PSN_mean+NA+NA+NA+NA+NA+NA+NA","0.719","264.409"
"TA_mean+TA_sd+PA_sd+NA+NA+NA+NA+NA+NA","0.717","267.987"
"TA_mean+TA_sd+TCV_mean+NA+NA+NA+NA+NA+NA","0.717","267.817"
"TA_mean+TA_sd+PCV_sd+NA+NA+NA+NA+NA+NA","0.736","256.427"
"TA_mean+TA_sd+MAT_mean+NA+NA+NA+NA+NA+NA","0.767","235.958"
"TA_mean+TA_sd+MAT_sd+NA+NA+NA+NA+NA+NA","0.717","267.731"
"TA_mean+TA_sd+TSN_mean+NA+NA+NA+NA+NA+NA","0.729","260.979"
"TA_mean+TA_sd+PSN_mean+NA+NA+NA+NA+NA+NA","0.73","260.341"
"TA_mean+PA_sd+TCV_mean+NA+NA+NA+NA+NA+NA","0.706","273.932"
"TA_mean+PA_sd+PCV_sd+NA+NA+NA+NA+NA+NA","0.726","262.754"
"TA_mean+PA_sd+MAT_mean+NA+NA+NA+NA+NA+NA","0.768","235.386"
"TA_mean+PA_sd+MAT_sd+NA+NA+NA+NA+NA+NA","0.706","274.131"
"TA_mean+PA_sd+TSN_mean+NA+NA+NA+NA+NA+NA","0.719","266.853"
"TA_mean+PA_sd+PSN_mean+NA+NA+NA+NA+NA+NA","0.718","267.452"
"TA_mean+TCV_mean+PCV_sd+NA+NA+NA+NA+NA+NA","0.725","262.873"
"TA_mean+TCV_mean+MAT_mean+NA+NA+NA+NA+NA+NA","0.765","237.311"
"TA_mean+TCV_mean+MAT_sd+NA+NA+NA+NA+NA+NA","0.706","273.963"
"TA_mean+TCV_mean+TSN_mean+NA+NA+NA+NA+NA+NA","0.719","266.947"
"TA_mean+TCV_mean+PSN_mean+NA+NA+NA+NA+NA+NA","0.718","267.159"
"TA_mean+PCV_sd+MAT_mean+NA+NA+NA+NA+NA+NA","0.784","223.596"
"TA_mean+PCV_sd+MAT_sd+NA+NA+NA+NA+NA+NA","0.726","262.645"
"TA_mean+PCV_sd+TSN_mean+NA+NA+NA+NA+NA+NA","0.739","254.661"
"TA_mean+PCV_sd+PSN_mean+NA+NA+NA+NA+NA+NA","0.738","255.282"
"TA_mean+MAT_mean+MAT_sd+NA+NA+NA+NA+NA+NA","0.765","237.369"
"TA_mean+MAT_mean+TSN_mean+NA+NA+NA+NA+NA+NA","0.77","234.179"
"TA_mean+MAT_mean+PSN_mean+NA+NA+NA+NA+NA+NA","0.773","231.827"
"TA_mean+MAT_sd+TSN_mean+NA+NA+NA+NA+NA+NA","0.719","266.862"
"TA_mean+MAT_sd+PSN_mean+NA+NA+NA+NA+NA+NA","0.718","267.365"
"TA_mean+TSN_mean+PSN_mean+NA+NA+NA+NA+NA+NA","0.727","261.656"
"TA_sd+PA_sd+TCV_mean+NA+NA+NA+NA+NA+NA","0.707","273.291"
"TA_sd+PA_sd+PCV_sd+NA+NA+NA+NA+NA+NA","0.728","261.395"
"TA_sd+PA_sd+MAT_mean+NA+NA+NA+NA+NA+NA","0.768","235.679"
"TA_sd+PA_sd+MAT_sd+NA+NA+NA+NA+NA+NA","0.708","272.702"
"TA_sd+PA_sd+TSN_mean+NA+NA+NA+NA+NA+NA","0.721","265.693"
"TA_sd+PA_sd+PSN_mean+NA+NA+NA+NA+NA+NA","0.719","266.407"
"TA_sd+TCV_mean+PCV_sd+NA+NA+NA+NA+NA+NA","0.728","261.121"
"TA_sd+TCV_mean+MAT_mean+NA+NA+NA+NA+NA+NA","0.764","238.035"
