"","TA_mean","TA_sd","PA_mean","PA_sd","TCV_mean","TCV_sd","PCV_mean","PCV_sd","MAT_mean","MAT_sd","MAP_mean","MAP_sd","TSN_mean","TSN_sd","PSN_mean","PSN_sd"
"TA_mean",1,0.0974649380405834,-0.0664172023819225,0.0212203881786524,0.221757542598923,-0.00531847707139506,0.108599096637655,0.212467714971197,-0.36142645563761,-0.0994675343173548,-0.365743353854037,-0.121279898456923,0.253234304503326,-0.138342690127783,-0.0411001279306114,0.284886827465599
"TA_sd",0.0974649380405834,1,-0.170944899758872,-0.11308727817504,-0.153065216521464,0.0759408814786717,0.0850449024384102,-0.0298600525759599,-0.507952127358729,0.43038800272826,-0.478091923443188,0.232097482909768,-0.270660933755895,0.323504808468842,0.420705807782016,0.0925074976463682
"PA_mean",-0.0664172023819225,-0.170944899758872,1,0.599459493812788,0.00220527484498961,0.000875211457206489,-0.197628952933982,-0.19668764325589,0.282758972959627,-0.0810231160037266,0.387662290183259,0.221927977273995,-0.0816818692718451,0.0132346131249175,-0.176829921259937,-0.170033813903837
"PA_sd",0.0212203881786524,-0.11308727817504,0.599459493812788,1,-0.0989508313500792,0.053375326018884,-0.200754922433949,0.0396544310794363,0.209741002885333,0.0456682058346174,0.385244275888357,0.321104269326248,-0.0513752883293708,0.101798659610932,-0.144172350297729,-0.0955752444206149
"TCV_mean",0.221757542598923,-0.153065216521464,0.00220527484498961,-0.0989508313500792,1,-0.286894915546745,0.225858279022241,0.133198284815652,-0.0166819462494384,-0.233245979351486,-0.220793487617813,-0.114455435564699,0.458122126147843,-0.0320401007716672,-0.0841222444617784,0.119212580827877
"TCV_sd",-0.00531847707139506,0.0759408814786717,0.000875211457206489,0.053375326018884,-0.286894915546745,1,0.00333828813025632,-0.0499496159156042,-0.15856951565515,0.0171251807013394,0.0549083587019478,-0.0156932194624777,0.00176279497341108,0.165775552191918,-0.0820571346537984,-0.218641803092784
"PCV_mean",0.108599096637655,0.0850449024384102,-0.197628952933982,-0.200754922433949,0.225858279022241,0.00333828813025632,1,0.328556949482405,-0.36041671456919,0.00353814772832773,-0.533443226295578,-0.299945622375806,0.184669708088956,-0.107538926187881,0.247997755565964,0.22671731011364
"PCV_sd",0.212467714971197,-0.0298600525759599,-0.19668764325589,0.0396544310794363,0.133198284815652,-0.0499496159156042,0.328556949482405,1,-0.0431199648657083,0.0576438782742946,-0.164407764340058,0.0613333641462013,0.120066110566504,0.100238959684715,-0.024283366513719,0.25769035874612
"MAT_mean",-0.36142645563761,-0.507952127358729,0.282758972959627,0.209741002885333,-0.0166819462494384,-0.15856951565515,-0.36041671456919,-0.0431199648657083,1,-0.435434127681455,0.811329076153681,0.0365502160904249,0.0198048515633114,-0.230076054043517,-0.526157673849324,-0.237039131306387
"MAT_sd",-0.0994675343173548,0.43038800272826,-0.0810231160037266,0.0456682058346174,-0.233245979351486,0.0171251807013394,0.00353814772832773,0.0576438782742946,-0.435434127681455,1,-0.263166747902502,0.64146055012789,-0.286123285781419,0.49375020860934,0.383394129638133,0.0798210144025701
"MAP_mean",-0.365743353854037,-0.478091923443188,0.387662290183259,0.385244275888357,-0.220793487617813,0.0549083587019478,-0.533443226295578,-0.164407764340058,0.811329076153681,-0.263166747902502,1,0.182590057680683,-0.113562985362521,-0.0867400761869166,-0.591025374670612,-0.36047112655367
"MAP_sd",-0.121279898456923,0.232097482909768,0.221927977273995,0.321104269326248,-0.114455435564699,-0.0156932194624777,-0.299945622375806,0.0613333641462013,0.0365502160904249,0.64146055012789,0.182590057680683,1,-0.261772436823022,0.36146815612436,0.0859599425003958,-0.035255832846322
"TSN_mean",0.253234304503326,-0.270660933755895,-0.0816818692718451,-0.0513752883293708,0.458122126147843,0.00176279497341108,0.184669708088956,0.120066110566504,0.0198048515633114,-0.286123285781419,-0.113562985362521,-0.261772436823022,1,-0.0975157973054092,-0.378766459504665,-0.0576087539467379
"TSN_sd",-0.138342690127783,0.323504808468842,0.0132346131249175,0.101798659610932,-0.0320401007716672,0.165775552191918,-0.107538926187881,0.100238959684715,-0.230076054043517,0.49375020860934,-0.0867400761869166,0.36146815612436,-0.0975157973054092,1,0.153035363454594,-0.0960188218134424
"PSN_mean",-0.0411001279306114,0.420705807782016,-0.176829921259937,-0.144172350297729,-0.0841222444617784,-0.0820571346537984,0.247997755565964,-0.024283366513719,-0.526157673849324,0.383394129638133,-0.591025374670612,0.0859599425003958,-0.378766459504665,0.153035363454594,1,0.353356104156338
"PSN_sd",0.284886827465599,0.0925074976463682,-0.170033813903837,-0.0955752444206149,0.119212580827877,-0.218641803092784,0.22671731011364,0.25769035874612,-0.237039131306387,0.0798210144025701,-0.36047112655367,-0.035255832846322,-0.0576087539467379,-0.0960188218134424,0.353356104156338,1
