species,longitude,latitude
Actinodaphne_cupularis,103.24 ,29.94 
Actinodaphne_cupularis,103.33 ,30.64 
Actinodaphne_cupularis,103.34 ,30.92 
Actinodaphne_cupularis,103.36 ,29.53 
Actinodaphne_cupularis,103.36 ,29.53 
Actinodaphne_cupularis,103.37 ,29.53 
Actinodaphne_cupularis,103.37 ,29.55 
Actinodaphne_cupularis,103.37 ,29.53 
Actinodaphne_cupularis,103.38 ,29.55 
Actinodaphne_cupularis,103.38 ,29.58 
Actinodaphne_cupularis,103.39 ,29.57 
Actinodaphne_cupularis,103.42 ,29.57 
Actinodaphne_cupularis,103.43 ,29.55 
Actinodaphne_cupularis,103.43 ,29.31 
Actinodaphne_cupularis,103.44 ,29.56 
Actinodaphne_cupularis,103.50 ,30.88 
Actinodaphne_cupularis,103.56 ,30.90 
Actinodaphne_cupularis,103.56 ,30.90 
Actinodaphne_cupularis,103.56 ,30.90 
Actinodaphne_cupularis,103.93 ,28.16 
Actinodaphne_cupularis,103.95 ,28.84 
Actinodaphne_cupularis,103.97 ,30.72 
Actinodaphne_cupularis,104.02 ,31.37 
Actinodaphne_cupularis,104.44 ,27.97 
Actinodaphne_cupularis,104.54 ,31.51 
Actinodaphne_cupularis,104.66 ,27.99 
Actinodaphne_cupularis,105.34 ,28.05 
Actinodaphne_cupularis,105.56 ,23.24 
Actinodaphne_cupularis,105.76 ,28.60 
Actinodaphne_cupularis,105.79 ,28.36 
Actinodaphne_cupularis,106.03 ,28.44 
Actinodaphne_cupularis,106.03 ,27.48 
Actinodaphne_cupularis,106.07 ,28.77 
Actinodaphne_cupularis,106.08 ,28.77 
Actinodaphne_cupularis,106.14 ,27.25 
Actinodaphne_cupularis,106.17 ,28.42 
Actinodaphne_cupularis,106.18 ,28.42 
Actinodaphne_cupularis,106.19 ,28.41 
Actinodaphne_cupularis,106.19 ,25.44 
Actinodaphne_cupularis,106.26 ,26.78 
Actinodaphne_cupularis,106.27 ,26.54 
Actinodaphne_cupularis,106.31 ,28.34 
Actinodaphne_cupularis,106.41 ,25.35 
Actinodaphne_cupularis,106.41 ,28.39 
Actinodaphne_cupularis,106.43 ,26.40 
Actinodaphne_cupularis,106.46 ,26.64 
Actinodaphne_cupularis,106.46 ,26.64 
Actinodaphne_cupularis,106.60 ,26.47 
Actinodaphne_cupularis,106.60 ,26.47 
Actinodaphne_cupularis,106.64 ,27.14 
Actinodaphne_cupularis,106.71 ,27.91 
Actinodaphne_cupularis,106.73 ,26.63 
Actinodaphne_cupularis,106.75 ,27.93 
Actinodaphne_cupularis,106.82 ,26.63 
Actinodaphne_cupularis,106.89 ,26.78 
Actinodaphne_cupularis,106.90 ,26.88 
Actinodaphne_cupularis,107.00 ,30.24 
Actinodaphne_cupularis,107.06 ,29.00 
Actinodaphne_cupularis,107.09 ,26.97 
Actinodaphne_cupularis,107.10 ,28.23 
Actinodaphne_cupularis,107.12 ,29.06 
Actinodaphne_cupularis,107.13 ,29.05 
Actinodaphne_cupularis,107.13 ,29.05 
Actinodaphne_cupularis,107.14 ,29.04 
Actinodaphne_cupularis,107.15 ,28.20 
Actinodaphne_cupularis,107.20 ,28.24 
Actinodaphne_cupularis,107.21 ,29.27 
Actinodaphne_cupularis,107.21 ,29.13 
Actinodaphne_cupularis,107.21 ,29.06 
Actinodaphne_cupularis,107.21 ,29.06 
Actinodaphne_cupularis,107.21 ,29.06 
Actinodaphne_cupularis,107.33 ,26.92 
Actinodaphne_cupularis,107.37 ,28.95 
Actinodaphne_cupularis,107.37 ,28.95 
Actinodaphne_cupularis,107.37 ,28.95 
Actinodaphne_cupularis,107.42 ,29.07 
Actinodaphne_cupularis,107.49 ,29.54 
Actinodaphne_cupularis,107.61 ,29.72 
Actinodaphne_cupularis,107.68 ,27.09 
Actinodaphne_cupularis,107.73 ,25.58 
Actinodaphne_cupularis,107.85 ,28.07 
Actinodaphne_cupularis,107.85 ,28.15 
Actinodaphne_cupularis,107.90 ,29.50 
Actinodaphne_cupularis,107.90 ,29.50 
Actinodaphne_cupularis,107.91 ,26.92 
Actinodaphne_cupularis,107.93 ,25.11 
Actinodaphne_cupularis,107.94 ,25.11 
Actinodaphne_cupularis,107.97 ,28.43 
Actinodaphne_cupularis,107.97 ,25.13 
Actinodaphne_cupularis,107.97 ,25.06 
Actinodaphne_cupularis,107.98 ,25.11 
Actinodaphne_cupularis,108.00 ,25.11 
Actinodaphne_cupularis,108.04 ,25.14 
Actinodaphne_cupularis,108.06 ,27.34 
Actinodaphne_cupularis,108.09 ,27.29 
Actinodaphne_cupularis,108.11 ,27.12 
Actinodaphne_cupularis,108.11 ,27.13 
Actinodaphne_cupularis,108.14 ,28.48 
Actinodaphne_cupularis,108.14 ,28.47 
Actinodaphne_cupularis,108.17 ,32.09 
Actinodaphne_cupularis,108.21 ,27.50 
Actinodaphne_cupularis,108.22 ,28.77 
Actinodaphne_cupularis,108.23 ,32.05 
Actinodaphne_cupularis,108.23 ,32.21 
Actinodaphne_cupularis,108.29 ,29.88 
Actinodaphne_cupularis,108.47 ,28.84 
Actinodaphne_cupularis,108.47 ,28.84 
Actinodaphne_cupularis,108.51 ,27.64 
Actinodaphne_cupularis,108.56 ,27.99 
Actinodaphne_cupularis,108.61 ,27.95 
Actinodaphne_cupularis,108.71 ,27.91 
Actinodaphne_cupularis,108.83 ,28.74 
Actinodaphne_cupularis,109.38 ,30.70 
Actinodaphne_cupularis,109.41 ,30.70 
Actinodaphne_cupularis,109.91 ,25.63 
Actinodaphne_cupularis,109.91 ,25.62 
Actinodaphne_cupularis,109.91 ,25.62 
Actinodaphne_cupularis,109.91 ,25.61 
Actinodaphne_cupularis,109.93 ,25.63 
Actinodaphne_cupularis,103.14 ,29.35 
Actinodaphne_cupularis,103.37 ,29.31 
Actinodaphne_cupularis,103.38 ,29.55 
Actinodaphne_cupularis,103.38 ,29.40 
Actinodaphne_cupularis,103.39 ,29.58 
Actinodaphne_cupularis,103.39 ,29.55 
Actinodaphne_cupularis,103.39 ,29.55 
Actinodaphne_cupularis,103.39 ,29.55 
Actinodaphne_cupularis,103.39 ,29.57 
Actinodaphne_cupularis,103.40 ,29.62 
Actinodaphne_cupularis,103.42 ,29.55 
Actinodaphne_cupularis,103.42 ,29.55 
Actinodaphne_cupularis,103.42 ,29.57 
Actinodaphne_cupularis,103.42 ,29.57 
Actinodaphne_cupularis,103.43 ,29.55 
Actinodaphne_cupularis,103.43 ,29.56 
Actinodaphne_cupularis,103.43 ,29.56 
Actinodaphne_cupularis,103.48 ,30.91 
Actinodaphne_cupularis,103.49 ,30.91 
Actinodaphne_cupularis,103.49 ,29.46 
Actinodaphne_cupularis,103.49 ,29.42 
Actinodaphne_cupularis,103.49 ,29.46 
Actinodaphne_cupularis,103.56 ,30.91 
Actinodaphne_cupularis,103.56 ,30.91 
Actinodaphne_cupularis,103.56 ,30.90 
Actinodaphne_cupularis,103.56 ,30.90 
Actinodaphne_cupularis,103.62 ,31.02 
Actinodaphne_cupularis,103.62 ,31.02 
Actinodaphne_cupularis,103.65 ,30.85 
Actinodaphne_cupularis,103.81 ,29.46 
Actinodaphne_cupularis,105.16 ,28.05 
Actinodaphne_cupularis,105.54 ,23.24 
Actinodaphne_cupularis,105.56 ,23.24 
Actinodaphne_cupularis,105.61 ,23.31 
Actinodaphne_cupularis,105.62 ,23.31 
Actinodaphne_cupularis,105.74 ,25.04 
Actinodaphne_cupularis,105.80 ,24.98 
Actinodaphne_cupularis,105.81 ,25.00 
Actinodaphne_cupularis,105.82 ,24.04 
Actinodaphne_cupularis,105.93 ,28.30 
Actinodaphne_cupularis,106.23 ,24.83 
Actinodaphne_cupularis,106.23 ,24.83 
Actinodaphne_cupularis,106.30 ,24.47 
Actinodaphne_cupularis,106.36 ,24.48 
Actinodaphne_cupularis,106.36 ,24.47 
Actinodaphne_cupularis,106.36 ,24.49 
Actinodaphne_cupularis,106.37 ,24.48 
Actinodaphne_cupularis,106.36 ,24.49 
Actinodaphne_cupularis,106.37 ,24.49 
Actinodaphne_cupularis,106.37 ,24.49 
Actinodaphne_cupularis,106.39 ,29.85 
Actinodaphne_cupularis,106.39 ,29.84 
Actinodaphne_cupularis,106.60 ,26.47 
Actinodaphne_cupularis,106.61 ,26.46 
Actinodaphne_cupularis,106.66 ,27.80 
Actinodaphne_cupularis,106.71 ,27.92 
Actinodaphne_cupularis,106.75 ,27.94 
Actinodaphne_cupularis,106.75 ,28.28 
Actinodaphne_cupularis,106.96 ,29.12 
Actinodaphne_cupularis,106.96 ,29.12 
Actinodaphne_cupularis,107.00 ,29.08 
Actinodaphne_cupularis,107.18 ,28.14 
Actinodaphne_cupularis,107.21 ,29.05 
Actinodaphne_cupularis,107.21 ,29.06 
Actinodaphne_cupularis,107.22 ,29.06 
Actinodaphne_cupularis,107.22 ,29.06 
Actinodaphne_cupularis,107.22 ,27.07 
Actinodaphne_cupularis,107.28 ,26.84 
Actinodaphne_cupularis,107.30 ,27.26 
Actinodaphne_cupularis,107.30 ,29.01 
Actinodaphne_cupularis,107.30 ,29.01 
Actinodaphne_cupularis,107.30 ,29.01 
Actinodaphne_cupularis,107.31 ,29.01 
Actinodaphne_cupularis,107.49 ,27.75 
Actinodaphne_cupularis,107.67 ,27.99 
Actinodaphne_cupularis,107.76 ,27.09 
Actinodaphne_cupularis,107.85 ,28.07 
Actinodaphne_cupularis,107.87 ,28.21 
Actinodaphne_cupularis,107.93 ,25.11 
Actinodaphne_cupularis,107.96 ,29.56 
Actinodaphne_cupularis,107.98 ,25.12 
Actinodaphne_cupularis,107.98 ,25.12 
Actinodaphne_cupularis,107.98 ,25.12 
Actinodaphne_cupularis,107.99 ,25.13 
Actinodaphne_cupularis,108.00 ,25.11 
Actinodaphne_cupularis,108.00 ,25.14 
Actinodaphne_cupularis,108.00 ,25.14 
Actinodaphne_cupularis,108.00 ,25.10 
Actinodaphne_cupularis,108.00 ,25.14 
Actinodaphne_cupularis,108.00 ,25.14 
Actinodaphne_cupularis,108.06 ,32.17 
Actinodaphne_cupularis,108.07 ,27.32 
Actinodaphne_cupularis,108.06 ,25.39 
Actinodaphne_cupularis,108.08 ,25.77 
Actinodaphne_cupularis,108.13 ,25.35 
Actinodaphne_cupularis,108.13 ,24.80 
Actinodaphne_cupularis,108.14 ,28.47 
Actinodaphne_cupularis,108.15 ,28.48 
Actinodaphne_cupularis,108.15 ,27.02 
Actinodaphne_cupularis,108.22 ,28.78 
Actinodaphne_cupularis,108.23 ,32.05 
Actinodaphne_cupularis,108.24 ,25.51 
Actinodaphne_cupularis,108.28 ,29.74 
Actinodaphne_cupularis,108.29 ,28.64 
Actinodaphne_cupularis,108.30 ,28.65 
Actinodaphne_cupularis,108.39 ,25.38 
Actinodaphne_cupularis,108.40 ,24.88 
Actinodaphne_cupularis,108.50 ,25.27 
Actinodaphne_cupularis,108.50 ,27.58 
Actinodaphne_cupularis,108.55 ,26.12 
