Type,FID,beta.sor,beta.sim,beta.sne,LSP,MAT,MAP,TA,PA,TSN,PSN,PCP,CWE,LSD,GMD,NVT,PDC,PSA
Tropical rain forest,32,0.068965517,0.02016129,0.048804227,87,23.58115103,1416.333333,2.247817735,49.83333333,347.7335462,77.09278867,0.308752984,0.014210097,0.868814035,0,6,0.012125,0.84861882
Tropical rain forest,33,0.094713656,0.037470726,0.05724293,87,23.22327354,1555,2.473273516,49,349.1878865,75.18709699,0.317329926,0.014380784,0.874210577,0,6,0.010016667,0.7763281
Tropical rain forest,34,0.094182825,0.03539823,0.058784595,88,24.20014749,1604.6,2.600147486,46.2,337.0331157,73.68531951,0.332339166,0.01405377,0.88473965,0,6,0.00702,0.673235533
Tropical rain forest,37,0.114035088,0.051643192,0.062391895,88,22.79754285,1475.111111,2.464209583,63.88888889,373.319835,78.18940366,0.300127397,0.01333929,0.868276299,0,7,0.010066667,0.7415628
Tropical rain forest,38,0.174462705,0.101788171,0.072674535,88,22.78132648,1645.166667,2.281326493,60.66666667,369.1372633,75.40733591,0.307562328,0.013555884,0.872834573,0,7,0.009366667,0.700443624
Tropical rain forest,39,0.173469388,0.08988764,0.083581747,89,24.03234954,1675.666667,2.365682854,46.33333333,360.6175057,72.71218,0.320268754,0.013156819,0.879007365,0,8,0.0090625,0.596908989
Tropical rain forest,40,0.130193906,0.06547619,0.064717715,88,24.80344321,1678.2,2.803443193,100,358.8571861,71.56293856,0.323566979,0.012710228,0.885409771,0,6,0.00742,0.518871896
Tropical rain forest,42,0.072796935,0.024193548,0.048603386,88,24.42040127,1506.5,2.420401305,471,397.1122946,78.14786384,0.296733796,0.012841145,0.874883224,0,7,0.008925,0.703406231
Tropical rain forest,43,0.115675676,0.057603687,0.058071989,88,24.14682806,1707.833333,2.146828115,513.5,394.2458266,75.65060741,0.304660024,0.013060131,0.879444801,0,7,0.009933333,0.672564286
Tropical rain forest,44,0.13174946,0.04964539,0.08210407,88,24.3562141,1717.333333,2.356214099,322.7777778,394.0724946,71.90726751,0.319311488,0.012531013,0.886787082,0,8,0.0101,0.551832397
Tropical rain forest,45,0.097276265,0.033333333,0.063942931,88,24.43172507,1734,2.431725115,66,393.7926149,69.95942,0.32282246,0.012127623,0.88998677,0,6,0.009275,0.490376115
